reference_no,reference,class_prey,type_prey,predator_prey_weight_ratio,class_predator,origin_predator,location,continent,type_experiment,treatment,exclosure_or_open,spatial_scale_km2,temporal_scale_months,type_of_response,effect_size,effect_size_type
1,"Balser, D. S., Dill, H. H. & Nelson, H. K. 1968 Effect of predator reduction on waterfowl nesting success. J. Wildl. Manage. 32, 669-682.",bird,waterfowl,3.2,both,native,mainland,North America,BA,rem,open,77.47,36,both,-0.144,Hedges_d
2,"Banks, P. B. 1999 Predation by introduced foxes on native bush rats in Australia: do foxes take the doomed surplus? J. Appl. Ecol. 36, 1063-1071.",mammal,rodent,61.7,mammal,introduced,mainland,Australia,SEC,rem,open,10,19,pop.size,2.077,Hedges_d
3,"Banks, P. B., Newsome, A. E. & Dickman, C. R. 2000 Predation by red foxes limits recruitment in populations of eastern grey kangaroos. Austral Ecol. 25, 283-291.",mammal,marsupial,0.1,mammal,introduced,mainland,Australia,SEC,rem,open,10,19,both,2.341,Hedges_d
4,"Banks, P. B., Norrdahl, K., Nordstrom, M. & Korpimaki, E. 2004 Dynamic impacts of feral mink predation on vole metapopulations in the outer archipelago of the Baltic Sea. Oikos 105, 79-88.",mammal,rodents,31.8,mammal,introduced,island,Europe,SEC,rem,open,1.07,60,pop.size,1.777,Hedges_d
5,"Clark, R. G., Meger, D. E. & Ignatiuk, J. B. 1995 Removing American crows and duck nesting success. Can. J. Zool. 73, 518-522.",bird,waterfowl,0.6,bird,native,mainland,North America,SEC,rem,open,10.2,4,reproduction,0.194,Hedges_d
6,"Desy, E. & Batzli, G. O. 1989 Effects of food availability and predation on prairie vole demography: a field experiment. Ecology 70, 411-421.",mammal,rodent,87.9,both,native,mainland,North America,SEC,rem,exclosure,0.0013,6,both,1.146,Hedges_d
7,"Dion, N., Hobson, K. A. & Lariviere, S. 1999 Effects of removing duck-nest predators on nesting success of grassland songbirds. Can. J. Zool. 77, 1801-1806.",bird,passerine,121.5,mammal,native,mainland,North America,SEC,rem,open,41,24,reproduction,0.472,Hedges_d
8,"Garrettson, P. R. & Rohwer, F. C. 2001 Effects of mammalian predator removal on production of upland-nesting ducks in North Dakota. J. Wildl. Manage. 65, 398-405.",bird,waterfowl,5.9,mammal,native,mainland,North America,SEC,rem,open,41.5,5,both,0.636,Hedges_d
9,"Garretson, P. R., Rohwer, F. C., Zimmer, J. M., Mense, B. J. & Dion, N. 1996 Effects of mammalian predator removal on waterfowl and non-game birds in North Dakota. Trans. 61st. No. Am. Wildl. and Natur. Resour. Conf. 61, 94-101.",bird,passerine & waterfowl,8.2,mammal,native,mainland,North America,SEC,rem,open,41.5,5,reproduction,1.219,Hedges_d
10,"Graham, I. M. & Lambin, X. 2002 The impact of weasel predation on cyclic field-vole survival: the specialist predator hypothesis contradicted. J. Anim. Ecol. 71, 946-956.",mammal,rodent,2.8,mammal,native,mainland,Europe,SEC,rem,open,0.085,25,pop.size,0.085,Hedges_d
