reference_no,reference,class_prey,type_prey,predator_prey_weight_ratio,class_predator,origin_predator,location,continent,type_experiment,treatment,exclosure_or_open,spatial_scale_km2,temporal_scale_months,type_of_response,effect_size,effect_size_type
1,"Bartmann, R. M., White, G. C. & Carpenter, L. H. 1992 Compensatory mortality in a Colorado mule deer population. Wildl. Monogr. 121, 1-39.",mammal,ungulate,0.2,mammal,native,mainland,North America,BA,rem,open,140,36,reproduction,1.293,response_ratio_Xe_over_Xc
2,"Beasom, S. L. 1974 Relationships between predator removal and white-tailed deer net productivity. J. Wildl. Manage. 38, 854-859.",mammal,ungulate,0.1,mammal,native,mainland,North America,SEC,rem,open,21.86,18,both,2.536,response_ratio_Xe_over_Xc
3,"Boonstra, R., Boutin, S., Byrom, A., Karels, T., Hubbs, A., Stuart-Smith, K., Blower, M. & Antpoehler, S. 2001 The Role of Red Squirrels and Arctic Ground Squirrels. In Ecosystem Dynamics of the Boreal Forest - The Kluane Project (eds. C. J. Krebs, S. Boutin & R. Boonstra), pp. 179-214. New York: Oxford University Press.",mammal,rodent,38.2,mammal,native,mainland,North America,SEC,rem,exclosure,1,89,pop.size,0.404,response_ratio_Xe_over_Xc
4,"Boonstra, R., Krebs, C. J., Gilbert, S. & Schweiger, S. 2001 Voles and Mice. In Ecosystem Dynamics of the Boreal Forest - The Kluane Project (eds. C. J. Krebs, S. Boutin & R. Boonstra), pp. 215-239. New York: Oxford University Press.",mammal,rodent,347.6,mammal,native,mainland,North America,SEC,rem,exclosure,1,80,pop.size,0.870,response_ratio_Xe_over_Xc
5,"Byrom, A. E., Karels, T. J., Krebs, C. J. & Boonstra, R. 2000 Experimental manipulation of predation and food supply of arctic ground squirrels in the boreal forest. Can. J. Zool. 78, 1309-1319. [Experiment started by Hubbs, A. H. & Boonstra, R. 1997 Population limitation in Arctic ground squirrels: Effects of food and predation. J. Anim. Ecol. 66, 527-541; results from Byrom et al. 2000 and Karels, T. J., Byrom, A. E., Boonstra, R. & Krebs, C. J. 2000 (J. Anim. Ecol. 69, 235-247) combined into one study.]",mammal,rodent,24.1,mammal,native,mainland,North America,SEC,rem,exclosure,1,93,both,1.430,response_ratio_Xe_over_Xc
6,"Cuthbert, R. 2002 The role of introduced mammals and inverse density-dependent predation in the conservation of Hutton's shearwater. Biol. Cons. 108, 69-78.",bird,seabird,0.6,mammal,introduced,island,New Zealand,BA,rem,open,4.2,18,reproduction,0.603,response_ratio_Xe_over_Xc
7,"Dilks, P. 1999 Recovery of a Mohua (Mohoua ochrocephala) population following predator control in the Eglinton Valley, Fiordland, New Zealand. Notornis 46, 323-332. [Experiment started by O'Donnell, C. F. J., Dilks, P. J. & Elliott, G. P. 1996 (N. Z. J. Zool. 23, 279-286); final results taken from Dilks 1999.]",bird,passerine,7.4,mammal,introduced,island,New Zealand,SEC,rem,open,0.5,51,pop.size,1.225,response_ratio_Xe_over_Xc
8,"Duebbert, H. F. & Kantrud, H. A. 1974 Upland duck nesting related to land use and predator reduction. J. Wildl. Manage. 38, 257-265. [Combined with Duebbert, H. F. & Lokemoen, J. T. 1980 High duck nesting success in a predator-reduced environment. J. Wildl. Manage. 44, 428-437, into one study.]",bird,waterfowl,6.4,mammal,native,mainland,North America,SEC,rem,open,259,28,both,1.534,response_ratio_Xe_over_Xc
9,"Edminster, F. C. 1939 The effect of predator control on ruffed grouse populations in New York. J. Wildl. Manage. 3, 345-352.",bird,grouse,2.5,both,native,mainland,North America,SEC,rem,open,8.61,42,both,0.975,response_ratio_Xe_over_Xc
10,"Erlinge, S. 1987 Predation and noncyclicity in a microtine population in southern Sweden. Oikos 50, 347-352.",mammal,rodent,55.9,both,native,mainland,Europe,SEC,rem,exclosure,0.005,8,pop.size,1.978,response_ratio_Xe_over_Xc
